Campaign name,Campaign ID,Day,Age,Gender,Amount spent (IDR),Impressions,Link clicks
Nama Kampanye Anda,123456789012345,2026-08-01,18-24,Male,22000,1100,48
Nama Kampanye Anda,123456789012345,2026-08-01,18-24,Female,26000,1300,56
Nama Kampanye Anda,123456789012345,2026-08-01,25-34,Male,35000,1750,75
Nama Kampanye Anda,123456789012345,2026-08-01,25-34,Female,38000,1900,82
Nama Kampanye Anda,123456789012345,2026-08-01,35-44,Male,18000,900,39
Nama Kampanye Anda,123456789012345,2026-08-01,35-44,Female,17000,850,37
Nama Kampanye Anda,123456789012345,2026-08-01,45-54,Male,6000,300,13
Nama Kampanye Anda,123456789012345,2026-08-01,45-54,Female,5000,250,11
Nama Kampanye Anda,123456789012345,2026-08-02,18-24,Male,24000,1200,52
Nama Kampanye Anda,123456789012345,2026-08-02,18-24,Female,28000,1400,60
Nama Kampanye Anda,123456789012345,2026-08-02,25-34,Male,37000,1850,80
Nama Kampanye Anda,123456789012345,2026-08-02,25-34,Female,40000,2000,86
